gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group A,high school,standard,Completed,72,73,74
male,group E,some high school,standard,None,94,88,78
female,group D,some college,standard,None,79,86,81
female,group C,associate's degree,standard,None,63,67,70
female,group C,bachelor's degree,free/reduced,Completed,43,51,54
female,group C,master's degree,standard,Completed,81,91,87
female,group B,high school,free/reduced,Completed,46,54,58
female,group C,associate's degree,standard,Completed,71,77,77
female,group B,master's degree,free/reduced,Completed,52,70,62
female,group D,some high school,standard,Completed,97,100,100
male,group C,master's degree,free/reduced,Completed,62,68,75
female,group C,some college,free/reduced,None,46,64,66
female,group E,high school,standard,None,50,50,47
female,group D,associate's degree,standard,None,65,69,70
male,group C,some high school,free/reduced,Completed,45,52,49
male,group C,associate's degree,free/reduced,Completed,65,67,65
male,group E,high school,standard,None,80,76,65
male,group D,some high school,standard,Completed,62,66,68
male,group B,some high school,free/reduced,None,48,52,45
female,group C,bachelor's degree,standard,None,77,88,87
female,group E,associate's degree,standard,None,66,65,69
male,group D,some college,standard,Completed,76,83,79
female,group B,some high school,standard,None,62,64,66
male,group D,some college,standard,Completed,77,62,62
female,group C,master's degree,standard,Completed,69,84,85
male,group D,associate's degree,standard,None,61,55,52
male,group C,some high school,free/reduced,Completed,59,69,65
male,group E,high school,free/reduced,None,55,56,51
female,group B,some college,free/reduced,None,45,53,55
female,group B,bachelor's degree,free/reduced,None,78,79,76
female,group C,associate's degree,standard,Completed,67,84,86
female,group D,some college,free/reduced,None,65,81,77
male,group C,associate's degree,standard,None,69,77,69
female,group B,associate's degree,standard,None,57,69,68
male,group C,some college,standard,None,59,41,42
male,group D,some high school,standard,Completed,74,71,78
male,group E,bachelor's degree,standard,None,82,62,62
male,group E,high school,standard,Completed,81,80,76
female,group B,some college,free/reduced,None,74,81,76
female,group B,some college,free/reduced,None,58,61,66
male,group D,some high school,free/reduced,Completed,80,79,79
male,group C,some college,free/reduced,None,35,28,27
female,group C,high school,free/reduced,None,42,62,60
male,group C,associate's degree,free/reduced,Completed,60,51,56
male,group E,high school,standard,Completed,87,91,81
male,group B,some high school,standard,Completed,84,83,75
female,group E,associate's degree,free/reduced,Completed,83,86,88
female,group C,high school,free/reduced,None,34,42,39
male,group B,high school,free/reduced,None,66,77,70
male,group B,some high school,standard,Completed,61,56,56
female,group D,high school,standard,Completed,56,68,74
male,group B,associate's degree,standard,None,87,85,73
female,group C,some high school,free/reduced,None,55,65,62
male,group D,some high school,standard,None,86,80,75
female,group B,associate's degree,standard,Completed,52,66,73
female,group E,master's degree,free/reduced,None,45,56,54
female,group C,some college,standard,None,72,72,71
male,group D,high school,standard,None,57,50,54
male,group A,some high school,free/reduced,None,68,72,64
female,group C,some college,standard,Completed,88,95,94
male,group D,some college,standard,None,76,64,66
male,group C,associate's degree,standard,None,46,43,42
female,group B,bachelor's degree,standard,None,67,86,83
male,group E,some high school,standard,None,92,87,78
male,group C,bachelor's degree,standard,Completed,83,82,84
male,group D,associate's degree,standard,None,80,75,77
male,group D,bachelor's degree,free/reduced,None,63,66,67
female,group D,some high school,standard,Completed,64,60,74
male,group B,some college,standard,None,54,52,51
male,group C,associate's degree,standard,None,84,80,80
male,group D,high school,free/reduced,Completed,73,68,66
female,group E,bachelor's degree,standard,None,80,83,83
female,group D,high school,standard,None,56,52,55
male,group E,some college,standard,None,59,51,43
male,group D,some high school,standard,None,75,74,69
male,group C,associate's degree,standard,None,85,76,71
male,group E,associate's degree,standard,None,89,76,74
female,group B,high school,standard,Completed,58,70,68
female,group B,high school,standard,None,65,64,62
male,group C,high school,standard,None,68,60,53
male,group A,some high school,standard,Completed,47,49,49
female,group D,some college,free/reduced,None,71,83,83
female,group B,some high school,standard,Completed,60,70,70
male,group D,master's degree,standard,None,80,80,72
male,group D,high school,standard,None,54,52,52
female,group E,some college,standard,None,62,73,70
female,group C,associate's degree,free/reduced,None,64,73,68
male,group C,associate's degree,standard,Completed,78,77,77
female,group B,some college,standard,None,70,75,78
female,group C,master's degree,free/reduced,Completed,65,81,81
female,group C,some high school,free/reduced,Completed,64,79,77
male,group C,some college,standard,Completed,79,79,78
female,group C,some high school,free/reduced,None,44,50,51
female,group E,high school,standard,None,99,93,90
male,group D,high school,standard,None,76,73,68
male,group D,some high school,free/reduced,None,59,42,41
female,group C,bachelor's degree,standard,None,63,75,81
female,group D,high school,standard,None,69,72,77
female,group D,associate's degree,standard,Completed,88,92,95
female,group E,some college,free/reduced,None,71,76,70
male,group C,bachelor's degree,standard,None,69,63,61
male,group C,some college,standard,None,58,49,42
female,group D,associate's degree,free/reduced,None,47,53,58
female,group D,some college,standard,None,65,70,71
male,group B,some college,standard,Completed,88,85,76
male,group C,bachelor's degree,standard,None,83,78,73
female,group C,some high school,standard,Completed,85,92,93
female,group E,high school,standard,Completed,59,63,75
female,group C,some high school,free/reduced,None,65,86,80
male,group B,bachelor's degree,free/reduced,None,73,56,57
male,group D,high school,standard,None,53,52,42
male,group D,high school,standard,None,45,48,46
female,group D,bachelor's degree,free/reduced,None,73,79,84
female,group D,some college,free/reduced,Completed,70,78,78
female,group B,some high school,standard,None,37,46,46
male,group B,associate's degree,standard,Completed,81,82,82
male,group E,associate's degree,standard,Completed,97,82,88
female,group B,some high school,standard,None,67,89,82
male,group B,bachelor's degree,free/reduced,None,88,75,76
male,group E,some high school,standard,Completed,77,76,77
male,group C,associate's degree,standard,None,76,70,68
male,group D,some high school,standard,None,86,73,70
male,group C,some high school,standard,Completed,63,60,57
female,group E,bachelor's degree,standard,None,65,73,75
male,group D,high school,free/reduced,Completed,78,77,80
male,group B,associate's degree,free/reduced,None,67,62,60
male,group A,some high school,standard,Completed,46,41,43
male,group E,associate's degree,standard,Completed,71,74,68
male,group C,high school,free/reduced,Completed,40,46,50
male,group D,associate's degree,free/reduced,None,90,87,75
male,group A,some college,free/reduced,Completed,81,78,81
male,group D,some high school,free/reduced,None,56,54,52
female,group C,associate's degree,standard,Completed,67,84,81
male,group B,associate's degree,standard,None,80,76,64
female,group C,associate's degree,standard,Completed,74,75,83
male,group A,some college,standard,None,69,67,69
male,group E,some college,standard,Completed,99,87,81
male,group C,some high school,standard,None,51,52,44
female,group B,associate's degree,free/reduced,None,53,71,67
female,group D,high school,free/reduced,None,49,57,52
female,group B,associate's degree,standard,None,73,76,80
male,group B,bachelor's degree,standard,None,66,60,57
male,group D,bachelor's degree,standard,Completed,67,61,68
female,group C,associate's degree,free/reduced,Completed,68,67,69
female,group C,bachelor's degree,standard,Completed,59,64,75
male,group C,high school,standard,None,71,66,65
female,group D,master's degree,standard,Completed,77,82,91
male,group C,associate's degree,standard,None,83,72,78
male,group B,bachelor's degree,standard,None,63,71,69
female,group D,associate's degree,free/reduced,None,56,65,63
female,group C,high school,free/reduced,Completed,67,79,84
female,group E,high school,standard,None,75,86,79
female,group C,some college,standard,None,71,81,80
female,group C,some high school,free/reduced,None,43,53,53
female,group C,high school,free/reduced,None,41,46,43
female,group C,some college,standard,None,82,90,94
male,group C,some college,standard,None,61,61,62
male,group A,some college,free/reduced,None,28,23,19
male,group C,associate's degree,standard,Completed,82,75,77
female,group B,some high school,standard,None,41,55,51
male,group C,high school,standard,None,71,60,61
male,group C,associate's degree,standard,None,47,37,35
male,group E,associate's degree,standard,Completed,62,56,53
male,group B,associate's degree,standard,None,90,78,81
female,group C,bachelor's degree,standard,None,83,93,95
female,group B,some college,free/reduced,None,61,68,66
male,group D,some high school,standard,Completed,76,70,69
male,group C,associate's degree,standard,None,49,51,43
female,group B,some high school,free/reduced,None,24,38,27
female,group D,some high school,free/reduced,Completed,35,55,60
male,group C,high school,free/reduced,None,58,61,52
female,group C,high school,standard,None,61,73,63
female,group B,high school,standard,Completed,69,76,74
male,group D,associate's degree,standard,Completed,67,72,67
male,group D,some college,standard,None,79,73,67
female,group C,high school,standard,None,72,80,75
male,group B,some college,standard,None,62,61,57
female,group C,bachelor's degree,standard,Completed,77,94,95
male,group D,high school,free/reduced,None,75,74,66
male,group E,associate's degree,standard,None,87,74,76
female,group B,bachelor's degree,standard,None,52,65,69
male,group E,some college,standard,None,66,57,52
female,group C,some college,standard,Completed,63,78,80
female,group C,associate's degree,standard,None,46,58,57
female,group C,some college,standard,None,59,71,70
female,group B,bachelor's degree,standard,None,61,72,70
male,group A,associate's degree,standard,None,63,61,61
female,group C,some college,free/reduced,Completed,42,66,69
male,group D,some college,free/reduced,None,59,62,61
female,group D,some college,standard,None,80,90,89
female,group B,high school,standard,None,58,62,59
male,group B,some high school,standard,Completed,85,84,78
female,group C,some college,standard,None,52,58,58
female,group D,some high school,free/reduced,None,27,34,32
male,group C,some college,standard,None,59,60,58
male,group A,bachelor's degree,free/reduced,Completed,49,58,60
male,group C,high school,standard,Completed,69,58,53
male,group C,bachelor's degree,free/reduced,None,61,66,61
female,group A,some high school,free/reduced,None,44,64,58
female,group D,some high school,standard,None,73,84,85
male,group E,some college,standard,None,84,77,71
female,group C,some college,free/reduced,Completed,45,73,70
male,group D,some high school,standard,None,74,74,72
female,group D,some college,standard,Completed,82,97,96
female,group D,bachelor's degree,standard,None,59,70,73
male,group E,associate's degree,free/reduced,None,46,43,41
female,group D,some high school,standard,None,80,90,82
female,group D,master's degree,free/reduced,Completed,85,95,100
female,group A,some high school,standard,None,71,83,77
male,group A,bachelor's degree,standard,None,66,64,62
female,group B,associate's degree,standard,None,80,86,83
male,group C,associate's degree,standard,Completed,87,100,95
male,group C,master's degree,free/reduced,None,79,81,71
female,group E,some high school,free/reduced,None,38,49,45
female,group A,some high school,free/reduced,None,38,43,43
female,group E,some college,standard,None,67,76,75
female,group E,bachelor's degree,standard,None,64,73,70
female,group C,associate's degree,free/reduced,None,57,78,67
female,group D,high school,standard,None,62,64,64
male,group D,master's degree,standard,None,73,70,75
male,group E,some high school,free/reduced,Completed,73,67,59
female,group D,some college,standard,None,77,68,77
male,group E,some college,standard,None,76,67,67
male,group C,associate's degree,standard,Completed,57,54,56
female,group C,some high school,standard,Completed,65,74,77
male,group A,high school,free/reduced,None,48,45,41
female,group B,high school,free/reduced,None,50,67,63
female,group C,associate's degree,standard,None,85,89,95
male,group B,some high school,standard,None,74,63,57
male,group D,some high school,standard,None,60,59,54
female,group C,some high school,standard,Completed,59,54,67
male,group A,some college,standard,None,53,43,43
female,group A,some college,free/reduced,None,49,65,55
female,group D,high school,standard,Completed,88,99,100
female,group C,high school,standard,None,54,59,62
female,group C,some high school,standard,None,63,73,68
male,group B,associate's degree,standard,Completed,65,65,63
female,group B,associate's degree,standard,None,82,80,77
female,group D,high school,free/reduced,Completed,52,57,56
male,group D,associate's degree,standard,Completed,87,84,85
female,group D,master's degree,standard,Completed,70,71,74
male,group E,some college,standard,Completed,84,83,78
male,group D,associate's degree,standard,None,71,66,60
male,group B,some high school,standard,Completed,63,67,67
female,group C,bachelor's degree,free/reduced,Completed,51,72,79
male,group E,high school,standard,None,84,73,69
male,group C,bachelor's degree,standard,Completed,71,74,68
male,group C,associate's degree,standard,None,74,73,67
male,group D,some college,standard,None,68,59,62
male,group E,high school,free/reduced,Completed,57,56,54
female,group C,associate's degree,free/reduced,Completed,82,93,93
female,group D,high school,standard,Completed,57,58,64
female,group D,master's degree,free/reduced,Completed,47,58,67
female,group A,some high school,standard,Completed,59,85,80
male,group B,some college,free/reduced,None,41,39,34
female,group C,some college,free/reduced,None,62,67,62
male,group C,bachelor's degree,standard,None,86,83,86
male,group C,some high school,free/reduced,None,69,71,65
male,group A,some high school,free/reduced,None,65,59,53
male,group C,some high school,free/reduced,None,68,63,54
male,group C,associate's degree,free/reduced,None,64,66,59
female,group C,high school,standard,None,61,72,70
male,group C,high school,standard,None,61,56,55
female,group A,some high school,free/reduced,None,47,59,50
male,group C,some high school,standard,None,73,66,66
male,group C,some college,free/reduced,Completed,50,48,53
male,group D,associate's degree,standard,None,75,68,64
male,group D,associate's degree,free/reduced,None,75,66,73
male,group C,high school,standard,None,70,56,51
male,group D,some high school,standard,Completed,89,88,82
female,group C,some college,standard,Completed,67,81,79
female,group D,high school,standard,None,78,81,80
female,group A,some high school,free/reduced,None,59,73,69
female,group B,associate's degree,standard,None,73,83,76
male,group A,some high school,free/reduced,None,79,82,73
female,group C,some high school,standard,Completed,67,74,77
male,group D,some college,free/reduced,None,69,66,60
male,group C,high school,standard,Completed,86,81,80
male,group B,high school,standard,None,47,46,42
male,group B,associate's degree,standard,None,81,73,72
female,group C,some college,free/reduced,Completed,64,85,85
female,group E,some college,standard,None,100,92,97
female,group C,associate's degree,free/reduced,None,65,77,74
male,group C,some college,free/reduced,None,65,58,49
female,group C,associate's degree,free/reduced,None,53,61,62
male,group C,bachelor's degree,free/reduced,None,37,56,47
female,group D,bachelor's degree,standard,None,79,89,89
male,group D,associate's degree,free/reduced,None,53,54,48
female,group E,bachelor's degree,standard,None,100,100,100
male,group B,high school,standard,Completed,72,65,68
male,group C,bachelor's degree,free/reduced,None,53,58,55
male,group B,some college,free/reduced,None,54,54,45
female,group E,some college,standard,None,71,70,76
female,group C,some college,free/reduced,None,77,90,91
male,group A,bachelor's degree,standard,Completed,75,58,62
female,group C,some college,standard,None,84,87,91
female,group D,associate's degree,free/reduced,None,26,31,38
male,group A,high school,free/reduced,Completed,72,67,65
female,group A,high school,free/reduced,Completed,77,88,85
male,group C,some college,standard,None,91,74,76
female,group C,associate's degree,standard,Completed,83,85,90
female,group C,high school,standard,None,63,69,74
female,group C,associate's degree,standard,Completed,68,86,84
female,group D,some high school,standard,None,59,67,61
female,group B,associate's degree,standard,Completed,90,90,91
female,group D,bachelor's degree,standard,Completed,71,76,83
male,group E,bachelor's degree,standard,Completed,76,62,66
male,group D,associate's degree,standard,None,80,68,72
female,group D,master's degree,standard,None,55,64,70
male,group E,associate's degree,standard,None,76,71,67
male,group B,high school,standard,Completed,73,71,68
female,group D,associate's degree,free/reduced,None,52,59,56
male,group C,some college,free/reduced,None,68,68,61
male,group A,high school,standard,None,59,52,46
female,group B,associate's degree,standard,None,49,52,54
male,group C,high school,standard,None,70,74,71
male,group D,some college,free/reduced,None,61,47,56
female,group C,associate's degree,free/reduced,None,60,75,74
male,group B,some high school,standard,Completed,64,53,57
male,group A,associate's degree,free/reduced,Completed,79,82,82
female,group A,associate's degree,free/reduced,None,65,85,76
female,group C,associate's degree,standard,None,64,64,70
female,group C,some college,standard,None,83,83,90
female,group C,bachelor's degree,standard,None,81,88,90
female,group B,high school,standard,None,54,64,68
male,group D,high school,standard,Completed,68,64,66
female,group C,some college,standard,None,54,48,52
female,group D,some college,free/reduced,Completed,59,78,76
female,group B,some high school,standard,None,66,69,68
male,group E,some college,standard,None,76,71,72
female,group D,master's degree,standard,None,74,79,82
female,group B,associate's degree,standard,Completed,94,87,92
male,group C,some college,free/reduced,None,63,61,54
female,group E,associate's degree,standard,Completed,95,89,92
female,group D,master's degree,free/reduced,None,40,59,54
female,group B,some high school,standard,None,82,82,80
male,group A,high school,standard,None,68,70,66
male,group B,bachelor's degree,free/reduced,None,55,59,54
male,group C,master's degree,standard,None,79,78,77
female,group C,bachelor's degree,standard,None,86,92,87
male,group D,some college,standard,None,76,71,73
male,group A,some high school,standard,None,64,50,43
male,group D,some high school,free/reduced,None,62,49,52
female,group B,some high school,standard,Completed,54,61,62
female,group B,master's degree,free/reduced,Completed,77,97,94
female,group C,some high school,standard,Completed,76,87,85
female,group D,some college,standard,None,74,89,84
female,group E,some college,standard,Completed,66,74,73
female,group D,some high school,standard,Completed,66,78,78
female,group B,high school,free/reduced,Completed,67,78,79
male,group D,some college,standard,None,71,49,52
female,group C,associate's degree,standard,None,91,86,84
male,group D,bachelor's degree,standard,None,69,58,57
male,group C,master's degree,free/reduced,None,54,59,50
male,group C,high school,standard,Completed,53,52,49
male,group E,some college,standard,None,68,60,59
male,group C,some high school,free/reduced,Completed,56,61,60
female,group C,high school,free/reduced,None,36,53,43
female,group D,bachelor's degree,free/reduced,None,29,41,47
female,group C,associate's degree,standard,None,62,74,70
female,group C,associate's degree,standard,Completed,68,67,73
female,group C,some high school,standard,None,47,54,53
male,group E,associate's degree,standard,Completed,62,61,58
female,group E,associate's degree,standard,Completed,79,88,94
male,group B,high school,standard,Completed,73,69,68
female,group C,bachelor's degree,free/reduced,Completed,66,83,83
male,group C,associate's degree,standard,Completed,51,60,58
female,group D,high school,standard,None,51,66,62
male,group E,bachelor's degree,standard,Completed,85,66,71
male,group A,associate's degree,standard,Completed,97,92,86
male,group C,high school,standard,Completed,75,69,68
male,group D,associate's degree,free/reduced,Completed,79,82,80
female,group C,associate's degree,standard,None,81,77,79
female,group D,associate's degree,standard,None,82,95,89
female,group D,master's degree,standard,None,64,63,66
male,group E,some high school,free/reduced,Completed,78,83,80
female,group A,some high school,standard,Completed,92,100,97
male,group C,high school,standard,Completed,72,67,64
female,group C,high school,free/reduced,None,62,67,64
male,group C,master's degree,standard,None,79,72,69
male,group C,some high school,free/reduced,None,79,76,65
male,group B,bachelor's degree,free/reduced,Completed,87,90,88
female,group B,associate's degree,standard,None,40,48,50
male,group D,some college,free/reduced,None,77,62,64
male,group E,associate's degree,standard,None,53,45,40
female,group C,some college,free/reduced,None,32,39,33
female,group C,associate's degree,standard,Completed,55,72,79
male,group C,master's degree,free/reduced,None,61,67,66
female,group B,associate's degree,free/reduced,None,53,70,70
male,group D,some high school,standard,None,73,66,62
female,group D,some college,standard,Completed,74,75,79
female,group C,some college,standard,None,63,74,74
male,group C,bachelor's degree,standard,Completed,96,90,92
female,group D,some college,free/reduced,Completed,63,80,80
male,group B,bachelor's degree,free/reduced,None,48,51,46
male,group B,associate's degree,standard,None,48,43,45
female,group E,bachelor's degree,free/reduced,Completed,92,100,100
female,group D,master's degree,free/reduced,Completed,61,71,78
male,group B,high school,free/reduced,None,63,48,47
male,group D,bachelor's degree,free/reduced,None,68,68,67
male,group B,some college,standard,Completed,71,75,70
male,group A,bachelor's degree,standard,None,91,96,92
female,group C,some college,standard,None,53,62,56
female,group C,high school,free/reduced,Completed,50,66,64
female,group E,high school,standard,None,74,81,71
male,group A,associate's degree,free/reduced,Completed,40,55,53
male,group A,some college,standard,Completed,61,51,52
female,group B,high school,standard,None,81,91,89
female,group B,some college,free/reduced,Completed,48,56,58
female,group D,master's degree,standard,None,53,61,68
female,group D,some high school,standard,None,81,97,96
female,group E,some high school,standard,None,77,79,80
female,group D,bachelor's degree,free/reduced,None,63,73,78
female,group D,associate's degree,standard,Completed,73,75,80
female,group D,some college,standard,None,69,77,77
female,group C,associate's degree,standard,None,65,76,76
female,group A,high school,standard,None,55,73,73
female,group C,bachelor's degree,free/reduced,None,44,63,62
female,group C,some college,standard,None,54,64,65
female,group A,some high school,standard,None,48,66,65
male,group C,some college,free/reduced,None,58,57,54
male,group A,some high school,standard,None,71,62,50
male,group E,bachelor's degree,standard,None,68,68,64
female,group E,high school,standard,None,74,76,73
female,group C,bachelor's degree,standard,Completed,92,100,99
female,group C,bachelor's degree,standard,Completed,56,79,72
male,group B,high school,free/reduced,None,30,24,15
male,group A,some high school,standard,None,53,54,48
female,group D,high school,standard,None,69,77,73
female,group D,some high school,standard,None,65,82,81
female,group D,master's degree,standard,None,54,60,63
female,group C,high school,standard,None,29,29,30
female,group E,some college,standard,None,76,78,80
male,group D,high school,free/reduced,None,60,57,51
male,group D,master's degree,free/reduced,Completed,84,89,90
male,group C,some high school,standard,None,75,72,62
female,group C,associate's degree,standard,None,85,84,82
female,group C,master's degree,free/reduced,None,40,58,54
female,group E,some college,standard,None,61,64,62
female,group B,associate's degree,standard,None,58,63,65
male,group D,some college,free/reduced,Completed,69,60,63
female,group C,some college,standard,None,58,59,66
male,group C,bachelor's degree,standard,Completed,94,90,91
female,group C,associate's degree,standard,None,65,77,74
female,group A,associate's degree,standard,None,82,93,93
female,group C,high school,standard,None,60,68,72
female,group E,bachelor's degree,standard,None,37,45,38
male,group D,bachelor's degree,standard,None,88,78,83
male,group D,master's degree,standard,None,95,81,84
male,group C,associate's degree,free/reduced,Completed,65,73,68
female,group C,high school,free/reduced,None,35,61,54
male,group B,bachelor's degree,free/reduced,None,62,63,56
